"Genotype";"Angle_Yr";"AUDPC_days_Yr";"AUDPC_GDD_Yr";"GDD50_Yr";"maxVar_Yr"
"G37";0.329376486002672;116.473801577678;4236.01005934689;1759.76835188208;11.0711714969878
"G38";0.294779034885529;122.045485451502;5333.117374455;1775.32871472;3.57117149698787
"G39";0.240722327757145;-102.738460465244;4519.78698446048;1815.88178983389;6.07117149698784
"G40";0.238112368218862;80.9621521181678;4751.7559713689;1780.23538138667;1.07117149698785
"G41";0.448093197722651;203.135363505927;6393.17423169205;1733.07656344574;16.0711714969879
"G42";0.095636367638148;-24.6523523088121;2148.29995740475;1934.89178774231;1.07117149698785
"G43";1.33841558889644;436.472612373117;18607.533788933;1829.40084712317;7.99602560709864
"G44";0.821445701552195;298.295485451501;10320.9662441679;1757.04204805333;36.0711714969878
"G45";0.449779034885528;198.045485451501;7922.31219776069;1747.18038138667;13.5711714969879
"G46";-0.659277672242855;-296.988460465245;-174.70818551829;1653.38178983389;-16.4288285030122
"G47";0.238856530643291;67.245305219415;2761.50804572991;1649.01481629588;9.14631738687706
"G48";0.643112368218862;257.045485451501;9892.09421515578;1637.59704805334;13.5711714969878
"G49";0.661445701552195;256.628818784835;9009.32177398135;1637.59704805333;21.0711714969879
"G50";0.0300715412956005;56.6147892612416;1891.44173752703;1604.06092667655;-12.0039743929014
"G51";-0.0383927607392513;5.47976434697068;1363.33393334328;1639.35064104902;-12.0039743929014
"G52";0.313112368218861;143.545485451501;4805.39890130867;1686.34704805334;6.07117149698787
"G53";-0.665151609316669;-260.386771773911;1919.95525229544;1638.88552696361;-17.0039743929013
"G54";-0.315596746028906;-125.415650431681;470.026647440579;1647.74350158664;-13.9288285030122
"G55";0.302189863976623;90.4119718860822;2243.70364531944;1681.51481629588;14.146317386877
"G56";0.634779034885529;258.545485451501;9173.35776729648;1637.59704805334;21.0711714969879
"G57";-0.0104096571925785;15.2849551197168;2620.2612823863;1647.75124444931;-15.853682613123
"G58";0.720765163725968;296.531936896584;9069.42176570076;1617.83935227128;24.146317386877
"G59";0.794307388449721;355.687458409874;12050.6689873518;1605.32967716306;NA
"G61";0.489779034885529;179.962152118168;7176.31994445578;1653.84704805333;16.0711714969878
"G62";0.333422977643678;71.8419366756175;4512.28026449826;1667.92310245154;4.14631738687701
"G63";0.246445701552196;105.545485451502;4467.52564829559;1621.34704805333;1.07117149698786
"G64";0.524415588896443;174.972612373117;7411.9234057245;1641.29084712317;-2.00397439290137
"G65";0.53977903488553;214.545485451501;9208.91169871205;1670.09704805334;11.0711714969879
"G66";0.831445701552195;291.878818784835;7887.93296021693;1605.09704805333;31.0711714969878
"G67";-0.293449041261929;-109.626941917037;2816.05426528012;1649.8210169197;-13.9288285030122
"G68";0.944779034885529;453.712152118168;14967.3633234465;1556.53371472;41.0711714969878
"G69";0.37106992063776;128.917682901653;5741.28459538257;1647.74350158664;11.0711714969879
"G70";0.089884292071404;-68.7936085837043;2698.55071596474;1812.3210169197;1.07117149698785
"G71";0.160415588896442;92.5726123731173;2705.89483026814;1612.04084712317;-2.00397439290137
"G72";0.481445701552196;186.045485451502;5118.61203206081;1629.47204805334;21.0711714969879
"G73";0.301836334050039;154.057979591715;2296.31877874448;1570.44562732523;NA
"G74";0.143376486002672;48.5738015776777;2887.82389317174;1616.82435188208;3.57117149698786
"G75";0.401445701552196;167.045485451502;6157.90945196537;1637.59704805333;11.0711714969879
"G76";0.706445701552197;318.545485451501;9931.8711998442;1613.22204805333;26.0711714969879
"G77";0.166550958738071;-65.2936085837043;1049.07372890059;1779.8210169197;6.07117149698787
"G78";0.158865421610232;78.3032836144728;6044.91462784972;1651.51268423504;-5.85368261312293
